year_month,tea_category,package_type,quantity_kg,fob_rs_per_kg
2022-11,Green,Bulk,43165.0,
2022-11,Green,Packets (4g - 1kg),55520.27,
2022-11,Green,Packets (5kg - 10kg),1100.0,
2022-11,Instant,Packets (>3kg),261105.4,
2022-11,Instant,Packets (4g - 1kg),0.8,
2022-11,RTD,RTD ( Liters ),24.0,
2022-12,Black,Bags,1366104.31,
2022-12,Black,Bulk,8892323.92,
2022-12,Black,Packets (4g - 1kg),5252857.67,
2022-12,Black,Packets (1kg - 3kg),109837.6,
2022-12,Black,Packets (3kg - 5kg),637298.5,
2022-12,Black,Packets (5kg - 10kg),1879840.85,
2022-12,Green,Bags,59011.14,
2022-12,Green,Bulk,35844.0,
2022-12,Green,Packets (4g - 1kg),49849.58,
2022-12,Green,Packets (1kg - 3kg),2895.0,
2022-12,Green,Packets (3kg - 5kg),1004.0,
2022-12,Green,Packets (5kg - 10kg),100.0,
2022-12,Instant,Bags,60.0,
2022-12,Instant,Packets (>3kg),360660.5,
2022-12,Instant,Packets (4g - 1kg),0.2,
2022-12,Instant,RTD ( Liters ),4033.0,
2023-01,Black,Bags,1308927.43,
2023-01,Black,Bulk,7416264.78,
2023-01,Black,Packets (4g - 1kg),5267446.47,
2023-01,Black,Packets (1kg - 3kg),160587.47,
2023-01,Black,Packets (3kg - 5kg),577259.04,
2023-01,Black,Packets (5kg - 10kg),1650799.81,
2023-01,Green,Bags,77639.02,
2023-01,Green,Bulk,27623.0,
2023-01,Green,Packets (4g - 1kg),62128.95,
2023-01,Green,Packets (3kg - 5kg),1030.0,
2023-01,Green,Packets (5kg - 10kg),535.0,
2023-01,Instant,Packets (>3kg),230742.0,
2023-01,RTD,RTD ( Liters ),33.6,
2023-02,,Black,,
2023-02,,Green,,
2023-02,,Instant,,
2023-02,,RTD,,
2023-03,Black,Bags,1872948.01,
2023-03,Black,Bulk,7396007.27,
2023-03,Black,Packets (4g - 1kg),5607559.59,
2023-03,Black,Packets (1kg - 3kg),141024.6,
2023-03,Black,Packets (3kg - 5kg),755545.37,
2023-03,Black,Packets (5kg - 10kg),1104585.5,
2023-03,Green,Bags,62916.55,
2023-03,Green,Bulk,30891.0,
2023-03,Green,Packets (4g - 1kg),95286.26,
2023-03,Green,Packets (5kg - 10kg),275.0,
2023-03,Instant,Packets (4g - 1kg),1.0,
2023-03,Instant,Packets (>3kg),315858.3,
2023-03,RTD,RTD ( Liters ),6193.2,
2023-04,Black,Bags,1414763.98,
2023-04,Black,Bulk,7190816.79,
2023-04,Black,Packets (4g - 1kg),4954168.73,
2023-04,Black,Packets (1kg - 3kg),50059.52,
2023-04,Black,Packets (3kg - 5kg),347647.68,
2023-04,Black,Packets (5kg - 10kg),1078075.0,
2023-04,Green,Bags,64674.59,
2023-04,Green,Bulk,20335.0,
2023-04,Green,Packets (4g - 1kg),63918.57,
2023-04,Green,Packets (5kg - 10kg),1650.0,
2023-04,Instant,Packets (>3kg),92043.2,
2023-04,Instant,Packets (4g - 1kg),0.6,
2023-05,Black,Bags,1491461.11,
2023-05,Black,Bulk,8302374.12,
2023-05,Black,Packets (4g - 1kg),6142502.13,
2023-05,Black,Packets (1kg - 3kg),217946.64,
2023-05,Black,Packets (3kg - 5kg),689320.92,
2023-05,Black,Packets (5kg - 10kg),1861798.3,
2023-05,Green,Bags,75262.28,
2023-05,Green,Bulk,48825.0,
2023-05,Green,Packets (4g - 1kg),78381.0,
2023-05,Green,Packets (5kg - 10kg),83.0,
2023-05,Instant,Packets (>3kg),368021.57,
2023-05,RTD,RTD ( Liters ),23501.0,
2023-06,Black,Bags,1305023.75,
2023-06,Black,Bulk,9361052.0,
2023-06,Black,Packets (4g - 1kg),6334636.78,
2023-06,Black,Packets (1kg - 3kg),122552.2,
2023-06,Black,Packets (3kg - 5kg),921468.0,
2023-06,Black,Packets (5kg - 10kg),2222902.0,
2023-06,Green,Bags,55259.25,
2023-06,Green,Bulk,36646.52,
2023-06,Green,Packets (4g - 1kg),96405.11,
2023-06,Green,Packets (1kg - 3kg),1.2,
2023-06,Green,Packets (5kg - 10kg),855.0,
2023-06,Instant,Packets (>3kg),288385.84,
2023-07,Black,Bags,1630081.18,
2023-07,Black,Bulk,10312978.12,
2023-07,Black,Packets (4g - 1kg),6418287.35,
2023-07,Black,Packets (1kg - 3kg),108662.71,
2023-07,Black,Packets (3kg - 5kg),1150047.74,
2023-07,Black,Packets (5kg - 10kg),2066572.0,
2023-07,Green,Bags,60857.58,
2023-07,Green,Bulk,58559.84,
2023-07,Green,Packets (4g - 1kg),51824.17,
2023-07,Green,Packets (3kg - 5kg),25.0,
2023-07,Green,Packets (5kg - 10kg),505.0,
2023-07,Instant,Packets (>3kg),80158.7,
2023-07,RTD,RTD ( Liters ),145.2,
