date,usd_lkr
2024-06-13,303.738
2024-06-14,303.8309
2024-06-18,303.95
2024-06-19,304.4205
2024-06-20,305.2787
2024-06-24,305.4303
2024-06-25,305.3208
2024-06-26,305.4034
2024-06-27,305.3403
2024-06-28,305.7065
2024-07-01,306.0182
2024-07-02,305.8234
2024-07-03,303.5236
2024-07-04,304.0552
2024-07-05,304.5391
2024-07-08,304.8833
2024-07-09,304.4737
2024-07-10,304.2056
2024-07-11,303.7568
2024-07-12,303.3297
2024-07-15,302.1929
2024-07-16,301.4954
2024-07-17,303.3236
2024-07-18,303.8416
2024-07-19,303.9906
2024-07-22,303.6956
2024-07-23,303.7287
2024-07-24,303.8705
2024-07-25,303.5644
2024-07-26,303.62
2024-07-29,303.1957
2024-07-30,302.8885
2024-07-31,302.3706
2024-08-01,302.445
2024-08-02,302.4975
2024-08-05,302.0889
2024-08-06,302.2113
2024-08-07,302.3394
2024-08-08,301.8515
2024-08-09,301.2378
2024-08-12,300.4007
2024-08-13,299.6647
2024-08-14,299.228
2024-08-15,299.2783
2024-08-16,298.9042
2024-08-20,298.6809
2024-08-21,299.2525
2024-08-22,299.9863
2024-08-23,301.1343
2024-08-26,300.5002
2024-08-27,300.6037
2024-08-28,300.7178
2024-08-29,300.6837
2024-08-30,300.3276
2024-09-02,299.6011
2024-09-03,299.0072
2024-09-04,299.1715
2024-09-05,298.9385
2024-09-06,298.8696
2024-09-09,298.6949
2024-09-10,300.0746
2024-09-11,300.7295
2024-09-12,300.7654
2024-09-13,301.7977
2024-09-18,301.1969
2024-09-19,303.9177
2024-09-20,304.5504
2024-09-23,304.8847
2024-09-24,304.4214
2024-09-25,303.9075
2024-09-26,301.7592
2024-09-27,300.2152
2024-09-30,299.3565
2024-10-01,297.1955
2024-10-02,295.6217
2024-10-03,294.9272
2024-10-04,295.4684
2024-10-07,293.7819
2024-10-08,293.5476
2024-10-09,293.361
2024-10-10,292.9175
2024-10-11,293.1156
2024-10-14,292.8558
2024-10-15,292.8871
2024-10-16,293.6853
2024-10-18,292.9995
2024-10-21,292.8693
2024-10-22,293.0992
2024-10-23,293.2637
2024-10-24,293.2756
2024-10-25,293.6754
2024-10-28,293.6867
2024-10-29,293.5354
2024-10-30,293.7185
2024-11-01,293.4102
2024-11-04,292.9776
2024-11-05,293.0869
2024-11-06,293.1073
2024-11-07,292.9412
2024-11-08,292.6902
2024-11-11,292.6497
2024-11-12,292.594
2024-11-13,292.5977
2024-11-14,292.2986
2024-11-18,292.1947
2024-11-19,291.5886
2024-11-20,290.917
2024-11-21,290.9755
2024-11-22,290.9942
2024-11-25,290.9399
2024-11-26,291.0625
2024-11-27,291.1471
2024-11-28,291.0933
2024-11-29,290.9179
2024-12-02,290.6996
2024-12-03,290.6498
